News ID	topic_name
N55528	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N19639	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N61837	ukraine, trump, impeachment, president, trumps, house, inquiry, impeachment inquiry, donald, testimony
N53526	
N38324	
N2073	mayfield, baker, browns, baker mayfield, cleveland, effort long, officiating, cleveland browns, refs, browns loss
N49186	snow, cold, weather, temperatures, winter, arctic, record, degrees, tuesday, forecast
N59295	morales, evo morales, evo, bolivia, protests, bolivian, bolivias, president evo, president, chile
N24510	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
N39237	
N9721	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N60905	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N39758	
N28361	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
N18680	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N55610	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N35621	
N22850	
N58173	
N29120	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N9786	
N47705	
N3574	
N42474	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
N64498	
N7517	falcons, saints, falcons vs, atlanta, atlanta falcons, vs saints, crows nest, links buccaneers, web links, eagles
N63665	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N59469	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N57356	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
N15926	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N43620	
N60603	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
N40078	film, movie, films, joker, irishman, movies, box office, hollywood, martin, opening
N61409	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
N46013	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N50643	snow, cold, weather, temperatures, winter, arctic, record, degrees, tuesday, forecast
N60723	
N63175	
N22028	missing, yearold, missing yearold, girl, police, last seen, seen, search, woman, yearold girl
N8795	
N43647	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N41835	day sports, november, october, sports, day, november day, october day, news, news briefing, morning news
N8071	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N26926	
N49265	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N5124	
N42777	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N41387	
N41106	woods, tiger, tiger woods, zozo, presidents cup, zozo championship, pga, pga tour, presidents, cup
N37243	new, million, home, city, project, plan, homes, transportation, housing, building
N20139	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N9680	wedding, jennifer, married, jenner, couple, wife, kylie, birthday, actress, engaged
N35518	
N60434	
N48239	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N40045	film, movie, films, joker, irishman, movies, box office, hollywood, martin, opening
N43946	
N10836	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N49585	berlin, berlin wall, wall, germany, german, fall berlin, north pole, cold war, pole, years
N24798	
N64668	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N27435	
N3395	
N53133	
N30702	
N14538	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N37188	
N1032	nascar, race, speedway, championship, cup, cup series, hamlin, series, martinsville, nascar cup
